actions,alignment,armor_class,challenge_rating,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,damage_vulnerabilities,desc,dexterity,forms,hit_dice,hit_points,hit_points_roll,image,index,intelligence,languages,legendary_actions,name,proficiencies,proficiency_bonus,reactions,senses,size,special_abilities,speed,strength,subtype,type,url,wisdom,xp
[0x14000436060 0x140004360e0 0x140004361c0],lawful evil,[0x14000425c80],9,13,[],23,[fire],[],[],,9,,13d12,162,13d12+78,,fire-giant,10,Giant,,Fire Giant,[0x14000425d20 0x14000425da0 0x14000425e40 0x14000425ec0 0x14000425f40],4,,&{[passive_perception] map[passive_perception:16]},Huge,,&{[walk] map[walk:30 ft.]},25,,giant,/api/monsters/fire-giant,14,5000
[0x140004366e0 0x14000436760],neutral,[0x140004362c0],5,5,[0x14000436340 0x140004363a0 0x14000436400 0x14000436440 0x14000436480 0x140004364c0],18,"[lightning poison bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine]",[],[],,9,,11d8,93,11d8+44,,flesh-golem,6,understands the languages of its creator but can't speak,,Flesh Golem,[],3,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Medium,[0x14000436540 0x14000436580 0x140004365e0 0x14000436620 0x14000436660 0x140004366a0],&{[walk] map[walk:30 ft.]},19,,construct,/api/monsters/flesh-golem,10,1800
[0x140004369a0],unaligned,[0x14000436880],0.125000,5,[],11,[],[],[],"A flying snake is a brightly colored, winged serpent found in remote jungles. Tribespeople and cultists sometimes domesticate flying snakes to serve as messengers that deliver scrolls wrapped in their coils.",18,,2d4,5,2d4,,flying-snake,2,,,Flying Snake,[],2,,&{[blindsight passive_perception] map[blindsight:10 ft. passive_perception:11]},Tiny,[0x14000436960],&{[walk fly swim] map[fly:60 ft. swim:30 ft. walk:30 ft.]},4,,beast,/api/monsters/flying-snake,12,25
[0x14000436f20],unaligned,[0x14000436b40],0.250000,1,[0x14000436c60 0x14000436ca0 0x14000436d00 0x14000436d40 0x14000436d80 0x14000436dc0 0x14000436e00],11,[poison psychic],[],[],,15,,5d6,17,5d6,,flying-sword,1,,,Flying Sword,[0x14000436bc0],2,,&{[blindsight passive_perception] map[blindsight:60 ft. (blind beyond this radius) passive_perception:7]},Small,[0x14000436e80 0x14000436ec0],&{[walk fly hover] map[fly:50 ft. hover:true walk:0 ft.]},12,,construct,/api/monsters/flying-sword,5,50
,unaligned,[0x14000437020],0,3,[],8,[],[],[],"A frog has no effective attacks. It feeds on small insects and typically dwells near water, in trees, or underground. The frog’s statistics can also be used to represent a toad.",13,,1d4,1,1d4-1,,frog,1,,,Frog,[0x140004370a0 0x14000437120],2,,&{[darkvision passive_perception] map[darkvision:30 ft. passive_perception:11]},Tiny,[0x14000437200 0x14000437240],&{[walk swim] map[swim:20 ft. walk:20 ft.]},1,,beast,/api/monsters/frog,8,0
[0x14000437600 0x14000437680 0x14000437760],neutral evil,[0x140004372e0],8,12,[],21,[cold],[],[],,9,,12d12,138,12d12+60,,frost-giant,9,Giant,,Frost Giant,[0x14000437340 0x140004373c0 0x14000437460 0x140004374e0 0x14000437560],3,,&{[passive_perception] map[passive_perception:13]},Huge,,&{[walk] map[walk:40 ft.]},23,,giant,/api/monsters/frost-giant,10,3900
[0x14000444100 0x140004441e0 0x140004442c0],chaotic evil,[0x14000437860],2,7,[0x140004378e0 0x14000437920 0x14000444020],16,[poison],"[bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine]",[],,11,,7d8,52,7d8+21,,gargoyle,6,Terran,,Gargoyle,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Medium,[0x140004440c0],&{[walk fly] map[fly:60 ft. walk:30 ft.]},15,,elemental,/api/monsters/gargoyle,11,450
[0x140004446a0 0x14000444760],unaligned,[0x140004443c0],2,1,[0x14000444420 0x14000444460 0x140004444c0 0x14000444500 0x14000444540 0x14000444580],20,[],[],[],,3,,8d10,84,8d10+40,,gelatinous-cube,1,,,Gelatinous Cube,[],2,,&{[blindsight passive_perception] map[blindsight:60 ft. (blind beyond this radius) passive_perception:8]},Large,[0x14000444600 0x14000444640],&{[walk] map[walk:15 ft.]},14,,ooze,/api/monsters/gelatinous-cube,6,450
[0x14000444ba0 0x14000444c60],chaotic evil,[0x14000444900],2,8,[0x14000444960 0x140004449a0 0x14000444a00],10,[poison],[necrotic],[],,17,,8d8,36,8d8,,ghast,11,Common,,Ghast,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Medium,[0x14000444a80 0x14000444b40],&{[walk] map[walk:30 ft.]},16,,undead,/api/monsters/ghast,10,450
[0x14000445180 0x14000445240 0x140004452a0 0x14000445360],any alignment,[0x14000444d80],4,17,[0x14000444e40 0x14000444e80 0x14000444ee0 0x14000444f20 0x14000444f60 0x14000444fa0 0x14000444fe0 0x14000445020 0x14000445060],10,[cold necrotic poison],"[acid fire lightning thunder bludgeoning, piercing, and slashing from nonmagical weapons]",[],,13,,10d8,45,10d8,,ghost,10,any languages it knew in life,,Ghost,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:11]},Medium,[0x140004450e0 0x14000445120],&{[walk fly hover] map[fly:40 ft. hover:true walk:0 ft.]},7,,undead,/api/monsters/ghost,12,1100
[0x14000445620 0x140004456e0],chaotic evil,[0x140004454a0],1,6,[0x14000445500 0x14000445540 0x140004455a0],10,[poison],[],[],,15,,5d8,22,5d8,,ghoul,7,Common,,Ghoul,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Medium,,&{[walk] map[walk:30 ft.]},13,,undead,/api/monsters/ghoul,10,200
[0x140004459e0 0x14000445a60 0x14000445b00],unaligned,[0x14000445820],7,7,[],18,[],[],[],,14,,15d12,157,15d12+60,,giant-ape,7,,,Giant Ape,[0x140004458a0 0x14000445920],3,,&{[passive_perception] map[passive_perception:14]},Huge,,&{[walk climb] map[climb:40 ft. walk:40 ft.]},23,,beast,/api/monsters/giant-ape,12,2900
[0x14000445d00 0x14000445de0 0x14000445ec0],unaligned,[0x14000445c00],0.250000,5,[],15,[],[],[],,10,,2d8,13,2d8+4,,giant-badger,2,,,Giant Badger,[],2,,&{[darkvision passive_perception] map[darkvision:30 ft. passive_perception:11]},Medium,[0x14000445cc0],&{[walk burrow] map[burrow:10 ft. walk:30 ft.]},13,,beast,/api/monsters/giant-badger,12,50
[0x140004561c0],unaligned,[0x14000456060],0.250000,6,[],11,[],[],[],,16,,4d10,22,4d10,,giant-bat,2,,,Giant Bat,[],2,,&{[blindsight passive_perception] map[blindsight:60 ft. passive_perception:11]},Large,[0x14000456120 0x14000456160],&{[walk fly] map[fly:60 ft. walk:10 ft.]},15,,beast,/api/monsters/giant-bat,12,50
[0x14000456440],unaligned,[0x140004562c0],2,5,[],16,[],[],[],,10,,5d10,42,5d10+15,,giant-boar,2,,,Giant Boar,[],2,,&{[passive_perception] map[passive_perception:8]},Large,[0x14000456340 0x14000456380],&{[walk] map[walk:40 ft.]},17,,beast,/api/monsters/giant-boar,7,450
[0x14000456600],unaligned,[0x14000456540],0.250000,3,[],12,[],[],[],,14,,1d6,4,1d6+1,,giant-centipede,1,,,Giant Centipede,[],2,,&{[blindsight passive_perception] map[blindsight:30 ft. passive_perception:8]},Small,,&{[walk climb] map[climb:30 ft. walk:30 ft.]},5,,beast,/api/monsters/giant-centipede,7,50
[0x14000456840 0x14000456900],unaligned,[0x14000456700],2,3,[],12,[],[],[],,14,,8d12,60,8d12+8,,giant-constrictor-snake,1,,,Giant Constrictor Snake,[0x14000456780],2,,&{[blindsight passive_perception] map[blindsight:10 ft. passive_perception:12]},Huge,,&{[walk swim] map[swim:30 ft. walk:30 ft.]},19,,beast,/api/monsters/giant-constrictor-snake,10,450
[0x14000456ba0],unaligned,[0x14000456a20],0.125000,3,[],11,[],[],[],,15,,3d8,13,3d8,,giant-crab,1,,,Giant Crab,[0x14000456aa0],2,,&{[blindsight passive_perception] map[blindsight:30 ft. passive_perception:9]},Medium,[0x14000456b60],&{[walk swim] map[swim:30 ft. walk:30 ft.]},13,,beast,/api/monsters/giant-crab,9,25
[0x14000456e20 0x14000456f20 0x14000457000],unaligned,[0x14000456ca0],5,7,[],17,[],[],[],,9,,9d12,85,9d12+27,,giant-crocodile,2,,,Giant Crocodile,[0x14000456d20],3,,&{[passive_perception] map[passive_perception:10]},Huge,[0x14000456de0],&{[walk swim] map[swim:50 ft. walk:30 ft.]},21,,beast,/api/monsters/giant-crocodile,10,1800
[0x14000457260 0x14000457340 0x14000457420],neutral good,[0x14000457100],1,10,[],13,[],[],[],A giant eagle is a noble creature that speaks its own language and understands speech in the Common tongue. A mated pair of giant eagles typically has up to four eggs or young in their nest (treat the young as normal eagles).,17,,4d10,26,4d10+4,,giant-eagle,8,"Giant Eagle, understands Common and Auran but can't speak",,Giant Eagle,[0x14000457180],2,,&{[passive_perception] map[passive_perception:14]},Large,[0x14000457220],&{[walk fly] map[fly:80 ft. walk:10 ft.]},16,,beast,/api/monsters/giant-eagle,14,200
[0x14000457660 0x14000457720],unaligned,[0x14000457520],2,10,[],14,[],[],[],"The majestic giant elk is rare to the point that its appearance is often taken as a foreshadowing of an important event, such as the birth of a king. Legends tell of gods that take the form of giant elk when visiting the Material Plane. Many cultures therefore believe that to hunt these creatures is to invite divine wrath.",16,,5d12,42,5d12+10,,giant-elk,7,"Giant Elk, understands Common, Elvish, and Sylvan but can't speak",,Giant Elk,[0x14000457580],2,,&{[passive_perception] map[passive_perception:14]},Huge,[0x14000457620],&{[walk] map[walk:60 ft.]},19,,beast,/api/monsters/giant-elk,14,450
[0x14000457920],unaligned,[0x14000457840],0,3,[],12,[],[],[],"A giant fire beetle is a nocturnal creature that takes its name from a pair of glowing glands that give off light. Miners and adventurers prize these creatures, for a giant fire beetle’s glands continue to shed light for 1d6 days after the beetle dies. Giant fire beetles are most commonly found underground and in dark forests.",10,,1d6,4,1d6+1,,giant-fire-beetle,1,,,Giant Fire Beetle,[],2,,&{[blindsight passive_perception] map[blindsight:30 ft. passive_perception:8]},Small,[0x140004578e0],&{[walk] map[walk:30 ft.]},8,,beast,/api/monsters/giant-fire-beetle,7,10
[0x14000457ca0 0x14000457d60],unaligned,[0x14000457a20],0.250000,3,[],11,[],[],[],,13,,4d8,18,4d8,,giant-frog,2,,,Giant Frog,[0x14000457aa0 0x14000457b20],2,,&{[darkvision passive_perception] map[darkvision:30 ft. passive_perception:12]},Medium,[0x14000457c00 0x14000457c40],&{[walk swim] map[swim:30 ft. walk:30 ft.]},12,,beast,/api/monsters/giant-frog,10,50
[0x14000457f20],unaligned,[0x14000457e00],0.500000,6,[],12,[],[],[],,11,,3d10,19,3d10+3,,giant-goat,3,,,Giant Goat,[],2,,&{[passive_perception] map[passive_perception:11]},Large,[0x14000457e80 0x14000457ec0],&{[walk] map[walk:40 ft.]},17,,beast,/api/monsters/giant-goat,12,100
[0x140004364a0],unaligned,[0x140004361a0],1,7,[],14,[],[],[],,14,,6d10,45,6d10+12,,giant-hyena,2,,,Giant Hyena,[0x140004362a0],2,,&{[passive_perception] map[passive_perception:13]},Large,[0x14000436420],&{[walk] map[walk:50 ft.]},16,,beast,/api/monsters/giant-hyena,12,200
[0x14000436c00],unaligned,[0x140004368e0],0.250000,5,[],13,[],[],[],"A giant lizard can be ridden or used as a draft animal. Lizardfolk also keep them as pets, and subterranean giant lizards are used as mounts and pack animals by drow, duergar, and others.",12,,3d10,19,3d10+3,,giant-lizard,2,,,Giant Lizard,[],2,,&{[darkvision passive_perception] map[darkvision:30 ft. passive_perception:10]},Large,,&{[walk climb] map[climb:30 ft. walk:30 ft.]},15,,beast,/api/monsters/giant-lizard,10,50
[0x14000437960 0x14000437a20],unaligned,[0x14000436e20],1,4,[],13,[],[],[],,13,,8d10,52,8d10+8,,giant-octopus,4,,,Giant Octopus,[0x140004370e0 0x14000437380],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:14]},Large,[0x14000437660 0x14000437700 0x140004377e0],&{[walk swim] map[swim:60 ft. walk:10 ft.]},17,,beast,/api/monsters/giant-octopus,10,200
[0x14000437da0],neutral,[0x14000437b20],0.250000,10,[],12,[],[],[],,15,,3d10,19,3d10+3,,giant-owl,8,"Giant Owl, understands Common, Elvish, and Sylvan but can't speak",,Giant Owl,[0x14000437ba0 0x14000437c20],2,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:15]},Large,[0x14000437d00 0x14000437d40],&{[walk fly] map[fly:60 ft. walk:5 ft.]},13,,beast,/api/monsters/giant-owl,13,50
[0x14000464080],unaligned,[0x14000437ea0],0.250000,3,[],13,[],[],[],,18,,2d8,11,2d8+2,,giant-poisonous-snake,2,,,Giant Poisonous Snake,[0x14000437f20],2,,&{[blindsight passive_perception] map[blindsight:10 ft. passive_perception:12]},Medium,,&{[walk swim] map[swim:30 ft. walk:30 ft.]},10,,beast,/api/monsters/giant-poisonous-snake,10,50
[0x140004642c0],unaligned,[0x14000464180],0.125000,4,[],11,[],[],[],,15,,2d6,7,2d6,,giant-rat,2,,,Giant Rat,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Small,[0x14000464220 0x14000464260],&{[walk] map[walk:30 ft.]},7,,beast,/api/monsters/giant-rat,10,25
[0x14000464500],unaligned,[0x140004643c0],0.125000,4,[],11,[],[],[],,15,,2d6,7,2d6,,giant-rat-diseased,2,,,Giant Rat (Diseased),[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Small,[0x14000464460 0x140004644a0],&{[walk] map[walk:30 ft.]},7,,beast,/api/monsters/giant-rat-diseased,10,25
[0x140004646c0 0x14000464780 0x14000464880],unaligned,[0x14000464600],3,3,[],15,[],[],[],,13,,7d10,52,7d10+14,,giant-scorpion,1,,,Giant Scorpion,[],2,,&{[blindsight passive_perception] map[blindsight:60 ft. passive_perception:9]},Large,,&{[walk] map[walk:40 ft.]},15,,beast,/api/monsters/giant-scorpion,9,700
[0x14000464ac0],unaligned,[0x14000464980],0.500000,5,[],11,[],[],[],"Like their smaller kin, giant sea horses are shy, colorful fish with elongated bodies and curled tails. Aquatic elves train them as mounts.",15,,3d10,16,3d10,,giant-sea-horse,2,,,Giant Sea Horse,[],2,,&{[passive_perception] map[passive_perception:11]},Large,[0x14000464a20 0x14000464a60],&{[walk swim] map[swim:40 ft. walk:0 ft.]},12,,beast,/api/monsters/giant-sea-horse,12,100
[0x14000464d80],unaligned,[0x14000464bc0],5,5,[],21,[],[],[],"A giant shark is 30 feet long and normally found in deep oceans. Utterly fearless, it preys on anything that crosses its path, including whales and ships.",11,,11d12,126,11d12+55,,giant-shark,1,,,Giant Shark,[0x14000464c20],3,,&{[blindsight passive_perception] map[blindsight:60 ft. passive_perception:13]},Huge,[0x14000464ce0 0x14000464d20],&{[swim] map[swim:50 ft.]},23,,beast,/api/monsters/giant-shark,10,1800
[0x140004650a0 0x14000465160],unaligned,[0x14000464e80],1,4,[],12,[],[],[],"To snare its prey, a giant spider spins elaborate webs or shoots sticky strands of webbing from its abdomen. Giant spiders are most commonly found underground, making their lairs on ceilings or in dark, web-filled crevices. Such lairs are often festooned with web cocoons holding past victims.",16,,4d10,26,4d10+4,,giant-spider,2,,,Giant Spider,[0x14000464f00],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:10]},Large,[0x14000464fc0 0x14000465000 0x14000465060],&{[walk climb] map[climb:30 ft. walk:30 ft.]},14,,beast,/api/monsters/giant-spider,11,200
[0x140004653a0 0x14000465500],unaligned,[0x14000465240],1,3,[],13,[],[],[],,13,,6d10,39,6d10+6,,giant-toad,2,,,Giant Toad,[],2,,&{[darkvision passive_perception] map[darkvision:30 ft. passive_perception:10]},Large,[0x14000465300 0x14000465340],&{[walk swim] map[swim:40 ft. walk:20 ft.]},15,,beast,/api/monsters/giant-toad,10,200
[0x14000465780 0x14000465860 0x14000465940],neutral evil,[0x140004655a0],1,7,[],15,[],[],[],"A giant vulture has advanced intelligence and a malevolent bent. Unlike its smaller kin, it will attack a wounded creature to hasten its end. Giant vultures have been known to haunt a thirsty, starving creature for days to enjoy its suffering.",10,,3d10,22,3d10+6,,giant-vulture,6,understands Common but can't speak,,Giant Vulture,[0x14000465640],2,,&{[passive_perception] map[passive_perception:13]},Large,[0x140004656e0 0x14000465720],&{[walk fly] map[fly:60 ft. walk:10 ft.]},15,,beast,/api/monsters/giant-vulture,12,200
[0x14000465ae0],unaligned,[0x14000465a40],0.500000,3,[],10,[],[],[],,14,,3d8,13,3d8,,giant-wasp,1,,,Giant Wasp,[],2,,&{[passive_perception] map[passive_perception:10]},Medium,,&{[walk fly swim] map[fly:50 ft. swim:50 ft. walk:10 ft.]},10,,beast,/api/monsters/giant-wasp,10,100
[0x14000465de0],unaligned,[0x14000465be0],0.125000,5,[],10,[],[],[],,16,,2d8,9,2d8,,giant-weasel,4,,,Giant Weasel,[0x14000465c40 0x14000465cc0],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:13]},Medium,[0x14000465da0],&{[walk] map[walk:40 ft.]},11,,beast,/api/monsters/giant-weasel,12,25
[0x140002f0800],unaligned,[0x14000465ee0],0.250000,4,[],13,[],[],[],"Smaller than a giant spider, a giant wolf spider hunts prey across open ground or hides in a burrow or crevice, or in a hidden cavity beneath debris.",16,,2d8,11,2d8+2,,giant-wolf-spider,3,,,Giant Wolf Spider,[0x14000465f60 0x140002f0220],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:13]},Medium,[0x140002f0580 0x140002f0680 0x140002f0760],&{[walk climb] map[climb:40 ft. walk:40 ft.]},12,,beast,/api/monsters/giant-wolf-spider,12,50
[0x140002f13a0 0x140002f16c0 0x140002f1a20],neutral,[0x140002f0ba0],2,6,[0x140002f0de0],16,[],[],[],,8,,9d8,67,9d8+27,,gibbering-mouther,3,,,Gibbering Mouther,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Medium,[0x140002f0fa0 0x140002f10a0],&{[walk swim] map[swim:10 ft. walk:10 ft.]},10,,aberration,/api/monsters/gibbering-mouther,10,450
[0x140004894e0 0x140000a2de0 0x140000a36a0],chaotic evil,[0x140002f1f00],9,16,[0x140002bf780],21,[poison],"[cold fire lightning bludgeoning, piercing, and slashing from nonmagical weapons]",[],,15,,15d10,157,15d10+75,,glabrezu,19,"Abyssal, telepathy 120 ft.",,Glabrezu,[0x140002be220 0x140002be960 0x140002bef40 0x140002bf400],4,,&{[truesight passive_perception] map[passive_perception:13 truesight:120 ft.]},Large,[0x140002bf9a0 0x14000489240],&{[walk] map[walk:40 ft.]},20,demon,fiend,/api/monsters/glabrezu,17,5000
[0x1400015c4e0 0x140001deb20 0x140001dfd80],any alignment,[0x140000a3dc0],5,15,[],16,[],[],[],"Gladiators battle for the entertainment of raucous crowds. Some gladiators are brutal pit fighters who treat each match as a life-or-death struggle, while others are professional duelists who command huge fees but rarely fight to the death.",15,,15d8,112,15d8+45,,gladiator,10,any one language (usually Common),,Gladiator,[0x140002db740 0x14000512400 0x14000512b00 0x140005132a0 0x14000513760],3,[0x140001fc460],&{[passive_perception] map[passive_perception:11]},Medium,[0x14000513d80 0x1400015c040],&{[walk] map[walk:30 ft.]},18,any race,humanoid,/api/monsters/gladiator,12,1800
[0x140001fd980 0x140001fdf60 0x1400021b6a0],chaotic evil,[0x140001fc9c0],0.500000,7,[],11,[],[],[],,12,,5d8,22,5d8,,gnoll,6,Gnoll,,Gnoll,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Medium,[0x140001fd620],&{[walk] map[walk:30 ft.]},14,gnoll,humanoid,/api/monsters/gnoll,10,100
[0x14000247480],unaligned,[0x140002463c0],0,5,[],11,[],[],[],,10,,1d8,4,1d8,,goat,2,,,Goat,[],2,,&{[passive_perception] map[passive_perception:10]},Medium,[0x14000246b80 0x14000247020],&{[walk] map[walk:40 ft.]},12,,beast,/api/monsters/goat,10,10
[0x14000261580 0x14000261f20],neutral evil,[0x14000247f60],0.250000,8,[],10,[],[],[],,14,,2d6,7,2d6,/api/images/monsters/goblin.png,goblin,10,"Common, Goblin",,Goblin,[0x14000260a40],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:9]},Small,[0x140002612e0],&{[walk] map[walk:30 ft.]},8,goblinoid,humanoid,/api/monsters/goblin,8,50
[0x140002a1220 0x140002a15c0],lawful good,[0x14000286b80],3,16,[],17,[fire],[],[],,14,,8d8,60,8d8+24,,gold-dragon-wyrmling,14,Draconic,,Gold Dragon Wyrmling,[0x14000286fe0 0x14000287280 0x140002875e0 0x14000287980 0x14000287dc0 0x140002a04c0],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:14]},Medium,[0x140002a0ec0],&{[walk fly swim] map[fly:60 ft. swim:30 ft. walk:30 ft.]},19,,dragon,/api/monsters/gold-dragon-wyrmling,11,700
[0x14000312dc0 0x14000313080 0x14000313420],unaligned,[0x14000312800],5,7,[0x14000312ae0],18,[],[],[],,11,,12d10,114,12d10+48,,gorgon,2,,,Gorgon,[0x14000312900],3,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:14]},Large,[0x14000312d20],&{[walk] map[walk:40 ft.]},20,,monstrosity,/api/monsters/gorgon,12,1800
[0x140003287e0],unaligned,[0x140003138a0],0.500000,2,[0x14000313dc0 0x14000313ec0 0x14000328100 0x140003281a0 0x14000328260 0x14000328300],16,[],[acid cold fire],[],,6,,3d8,22,3d8+9,,gray-ooze,1,,,Gray Ooze,[0x14000313b20],2,,&{[blindsight passive_perception] map[blindsight:60 ft. (blind beyond this radius) passive_perception:8]},Medium,[0x14000328480 0x14000328520 0x14000328720],&{[walk climb] map[climb:10 ft. walk:10 ft.]},12,,ooze,/api/monsters/gray-ooze,6,100
[0x14000329e60 0x140003482e0],lawful evil,[0x14000328d60],2,13,[0x14000329c80],13,[poison],[],[],,12,,7d8,38,7d8+7,,green-dragon-wyrmling,14,Draconic,,Green Dragon Wyrmling,[0x14000328fe0 0x14000329200 0x14000329520 0x140003297e0 0x14000329960 0x14000329b20],2,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:14]},Medium,[0x14000329dc0],&{[walk fly swim] map[fly:60 ft. swim:30 ft. walk:30 ft.]},15,,dragon,/api/monsters/green-dragon-wyrmling,11,450
[0x14000366000 0x14000366360 0x140003665c0],neutral evil,[0x14000348ca0],3,14,[],16,[],[],[],,12,,11d8,82,11d8+33,,green-hag,13,"Common, Draconic, Sylvan",,Green Hag,[0x14000348dc0 0x14000348f80 0x140003491c0 0x14000349360],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:14]},Medium,[0x140003496a0 0x14000349780 0x14000349f00],&{[walk] map[walk:30 ft.]},18,,fey,/api/monsters/green-hag,14,700
[0x14000366bc0 0x14000366fc0 0x14000367300],neutral,[0x14000366800],2,5,[],11,[],"[bludgeoning, piercing, and slashing from nonmagical weapons]",[],,14,,6d8,27,6d8,,grick,3,,,Grick,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:12]},Medium,[0x14000366b20],&{[walk climb] map[climb:30 ft. walk:30 ft.]},14,,monstrosity,/api/monsters/grick,14,450
[0x14000367c20 0x1400038e080 0x1400038e3a0],unaligned,[0x140003675a0],2,8,[],16,[],[],[],,15,,7d10,59,7d10+21,,griffon,2,,,Griffon,[0x140003677e0],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:15]},Large,[0x14000367ac0],&{[walk fly] map[fly:80 ft. walk:30 ft.]},18,,monstrosity,/api/monsters/griffon,13,450
[0x1400038f280],neutral evil,[0x1400038e680],0.250000,6,[0x1400038eca0],12,[],[],[],,12,,2d8,11,2d8+2,,grimlock,9,Undercommon,,Grimlock,[0x1400038e780 0x1400038e940 0x1400038eae0],2,,&{[blindsight passive_perception] map[blindsight:30 ft. or 10 ft. while deafened (blind beyond this radius) passive_perception:13]},Medium,[0x1400038efe0 0x1400038f080 0x1400038f1c0],&{[walk] map[walk:30 ft.]},16,grimlock,humanoid,/api/monsters/grimlock,8,50
[0x1400038fd60],any alignment,[0x1400038f860],0.125000,10,[],12,[],[],[],"Guards include members of a city watch, sentries in a citadel or fortified town, and the bodyguards of merchants and nobles.",12,,2d8,11,2d8+2,,guard,10,any one language (usually Common),,Guard,[0x1400038fb00],2,,&{[passive_perception] map[passive_perception:12]},Medium,,&{[walk] map[walk:30 ft.]},13,any race,humanoid,/api/monsters/guard,11,25
[0x1400040c500 0x1400040c800],lawful good,[0x140003aa580],10,18,[0x140003aad00 0x140003aad80],16,[poison],[],[],,18,,15d10,127,15d10+45,,guardian-naga,16,"Celestial, Common",,Guardian Naga,[0x140003aa6c0 0x140003aa800 0x140003aa9a0 0x140003aaac0 0x140003aac20],4,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:14]},Large,[0x140003ab020 0x140003ab160],&{[walk] map[walk:40 ft.]},19,,monstrosity,/api/monsters/guardian-naga,19,5900
[0x14000424980 0x14000424c20],lawful neutral,[0x1400040c9c0],11,18,[0x1400040d2a0 0x1400040d3a0],16,[psychic],"[bludgeoning, piercing, and slashing from nonmagical weapons]",[],,15,,16d10,136,16d10+48,,gynosphinx,18,"Common, Sphinx",[0x14000424f20 0x14000425000 0x14000425100],Gynosphinx,[0x1400040cb80 0x1400040cce0 0x1400040cfc0 0x1400040d100],4,,&{[truesight passive_perception] map[passive_perception:18 truesight:120 ft.]},Large,[0x1400040d600 0x1400040d6c0 0x1400040d800],&{[walk fly] map[fly:60 ft. walk:40 ft.]},18,,monstrosity,/api/monsters/gynosphinx,18,7200
[0x140004255a0 0x14000425800 0x14000425de0 0x14000478040 0x14000478100],any alignment,[0x140004252a0],5,10,[],14,[],[fire],[],,13,,10d8,65,10d8+20,,half-red-dragon-veteran,10,"Common, Draconic",,Half-Red Dragon Veteran,[],3,,&{[blindsight darkvision passive_perception] map[blindsight:10 ft. darkvision:60 ft. passive_perception:12]},Medium,,&{[walk] map[walk:30 ft.]},16,human,humanoid,/api/monsters/half-red-dragon-veteran,11,1800
[0x14000478360 0x14000478440 0x14000478540 0x14000478600],chaotic evil,[0x140004782c0],1,13,[],12,[],[],[],,13,,7d8,38,7d8+7,,harpy,7,Common,,Harpy,[],2,,&{[passive_perception] map[passive_perception:10]},Medium,,&{[walk fly] map[fly:40 ft. walk:20 ft.]},12,,monstrosity,/api/monsters/harpy,10,200
[0x140004787e0],unaligned,[0x14000478680],0,6,[],8,[],[],[],,16,,1d4,1,1d4-1,,hawk,2,,,Hawk,[0x14000478700],2,,&{[passive_perception] map[passive_perception:14]},Tiny,[0x140004787a0],&{[walk fly] map[fly:60 ft. walk:10 ft.]},5,,beast,/api/monsters/hawk,14,10
[0x14000478aa0 0x14000478c00],lawful evil,[0x140004788e0],3,6,[],14,[fire],[],[],,12,,7d8,45,7d8+14,,hell-hound,6,understands Infernal but can't speak it,,Hell Hound,[0x14000478940],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:15]},Medium,[0x14000478a00 0x14000478a40],&{[walk] map[walk:50 ft.]},17,,fiend,/api/monsters/hell-hound,13,700
